1. Designator Codes and Descriptions,,,,
a. Unrestricted Line,,,,
Billet Code,Billet,Officer Code,Officer,Officer Community Manager (OCM)
7410,Warrant Officer (Line) billet requiring supervision in Ship's Clerk specialty,741X,Ship's Clerk,ACNO (Surface Warfare); NOTE (1) below applies
7490,Warrant Officer (Line) billet requiring supervision in Security Technician specialty,749X,Security Technician,USFF N1SF
"NOTES: (1) ACNO (Undersea Warfare) is the Officer Community Manager (OCM) for those 741X designators with AQD SV1.
              (2) The 740X designator was approved for deletion on 9 may 13.  The FY-14 LDO-CWO in service procurement board will be the final board which accesses nuclear CWOs.  Nuclear CWOs may continue their service by converting to nuclear LDO (640X) or continue their service as warrant officers and compete for promotions through CWO5.  All billets will be recoded to 640X and 740X will not be deleted until the inventory naturally attrites.  NAVADMIN 124/13 refers.
",,,,
u. CHIEF WARRANT OFFICER-STAFF CORPS,,,,
*7520,Warrant Officer (Staff Corps) billet requiring supervision in Food Service specialty,752X,Food Service Warrant,COMNAVSUP-SYSCOM
7530,Warrant Officer (Staff Corps) billet requiring supervision in Civil Engineering specialty,753X,Civil Engineering Warrant,COMNAVFAC-SYSCOM
7560,Warrant Officer (Staff Corps) billet requiring Technical Nurse specialty,756X,Technical Nurse,BUMED-53
*Authorized for active duty billets/personnel only.,,,,
,,,,
v. CHIEF WARRANT OFFICER-LINE (INFORMATION WARFARE COMMUNITY),,,,
7800,Warrant Officer (Line) billet requiring supervision Oceanography,780X,Oceanography Warrant Officer,BUPERS-311-CWO
7810,Warrant Officer (Line) billet requiring supervision in Cryptologic Warfare Technician specialty,781X,Cryptologic Warfare Technician Formerly DESIG 744X,BUPERS-311-CWO
7820,Warrant Officer (Line) billet requiring supervision in Information Systems Technician specialty,782X,Information Systems Technician Formerly DESIG 742X,BUPERS-311-CWO
7830,Warrant Officer (Line) billet requiring supervision in Intelligence Technician specialty,783X,Intelligence Technician Formerly DESIG 745X,BUPERS-311-CWO
7840,Warrant Officer (Line) billet requiring supervision in Cyber Warfare specialty,784X,Cyber Warrant Officer Formerly DESIG 743X,BUPERS-311-CWO
,,,,
2. Translation of Fourth Digit of Officer Designator Code,,,,
Fourth Digit,Translation,,,
0,An officer of the Regular Navy whose permanent grade is Ensign or above,,,
1,An officer of the Regular Navy whose permanent status is Warrant Officer,,,
2,A temporary officer of the Regular Navy whose permanent status is enlisted,,,
3,An Officer of the Regular Navy who is on the retired list,,,
4,A probationary Warrant Officer of the Regular Navy whose permanent status is enlisted until advanced to CWO3 (see NOTE 1),,,
5,An officer of the Naval Reserve (exceptions:  Note 4th digit 7 and 8),,,
7,An officer of the Naval Reserve on active duty in the TAR Program (Training and Administration of the Reserve) [Includes officers of the TAR Program rotated to other than TAR billets] (See NOTE 2),,,
8,An officer of the Naval Reserve who was appointed in the Naval Reserve Integration Program from enlisted status or whose permanent status is Warrant Officer or enlisted,,,
9,An officer of the Naval Reserve who is on the retired list,,,
"NOTE 1:   Does not apply to probationary Warrant Officer appointed/commissioned via Officer Candidate School (OCS).
NOTE 2: CNO (NO95) is the XXX7 Officer Community Manager (OCM)",,,,
