AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
CG1-6,,C,G,Deputy Project Manager,1-6,Grade level*,Successfully completed at least 24 months in a Deputy Project Manager assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CG1-CG6 indicate positions that provide the indicated level of Deputy Project Manager experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CH1-6,,C,H,Project Manager,1-6,Grade level*,Successfully completed at least 24 months in a Project Manager assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CH1-CH6 indicate positions that provide the indicated level of Project Manager experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
CH1-6,,C,I,Major Project Manager,1-6,Grade level*,Successfully completed at least 24 months in a Major Project Manager assignment.,,,,ALL,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,Indefinite,Active and Reserve,Billets coded with CI1-CI6 indicate positions that provide the indicated level of Major Project Manager experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W1 to O6 (See Note),,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,OPNAV N133,OPNAV N96,OPNAV N97,OPNAV N98,,,,,,,,,,,,
AVIATION WARFARE,"AQD codes having first character ""D"" or ""E"" are used to indicate specific billet requirements and personnel qualifications in Aviation Warfare specialty.  

These AQD codes are assigned to officers by PERS-4 and assigned to billets by N12.
",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA0,,D,A,Light Attack,0,Pilot/NFO,"Successfully completed an ACTC curriculum Level II. 
Aircraft: Any Aircraft
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DA0 require an officer who has previously been awarded the DA0 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DA6,,D,A,Light Attack,6,Pilot,"Successfully completed the associated Fleet Replacement Squadron training course of instruction/ACTC Level I.
Aircraft:  AV-8
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DA6 require an officer with the DA6 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DA7,,D,A,Light Attack,7,Pilot/NFO,"Successfully completed an ACTC curriculum Level II. 
Aircraft: F-18
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DA7 require an officer who has previously been awarded the DA7 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DAA,,D,A,Strike Warfare,A,Instructor,"Successfully completed an ACTC curriculum Level V. 
Aircraft: Any Fighter
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DAA require an officer who has previously been awarded the DAA code prior to reporting to ultimate duty station.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DAP,,D,A,Aviator,P,Permanent,"(a) Board selection
AND
(b) Successfully complete 1st Shore Tour assignment
AND
(c) Have achieved community specific ACTC qualification standards
AND
(d) Officer must request consideration due to unique detailing requirements",Code will be removed if officer chooses to return to “due course” Operational Aviation career path.,,,13XX,,,,,,,,,,,,,,,,,,,O3 TO O4,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERS - 43,,,,,BUPERS - 31,PERS - 43,,,,,,,,,,,,,,
DAB,,D,A,Attack,B,Strike Leader Graduate,"Successfully completed a Mission Commander course of instruction (ACTC Level I).
Aircraft: All
",,,,131X,132X,,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,"Billets coded with DAB require an officer who has previously been awarded the DAB, DUV, DUW, DUX, DUY, or DUZ code prior to reporting to ultimate duty station.",,,,1310,1320,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB0,,D,B,Fighter,0,Pilot/NFO,"Successfully completed an ACTC curriculum Level II. 
Aircraft: Any Fighter
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB0 require an officer who has previously been awarded the DB0 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB1,,D,B,Fighter/Strike,1,Strike Fighter Tactics Instructor (SFTI),"Successfully completed an ACTC curriculum Level V. 
Aircraft:  F/A-18E/F or F-35C
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB1 require an officer with the DB1 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB2,,D,B,Fighter/Strike,2,Pilot,"Successfully completed the Fleet Replacement Squadron course of instruction/ACTC Level I.
Aircraft:  F-35C
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with DB2 require an officer with the DB2 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB3,,D,B,Fighter/Strike,3,Pilot,"Successfully completed squadron introductory syllabus.
Aircraft:  F-5
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB3 require an officer with the DB3 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB6,,D,B,Fighter/Strike,6,Pilot/NFO,"Successfully completed the Fleet Replacement Squadron course of instruction/ACTC Level I.
Aircraft:  F/A-18E/F
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB6 require an officer with the DB6 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB7,,D,B,Fighter/Strike,7,TOPGUN Fighter Graduate,"Successfully completed an ACTC curriculum Level V. 
Aircraft:  FA-18E/F or F-35C
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB7 require an officer with the DB7 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB8,,D,B,Fighter/Strike,8,Adversary Graduate,"Designated as a TOPGUN adversary course graduate. 
Aircraft:  F/A-18E/F or F-35C
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB8 require an officer with the DB8 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DB9,,D,B,Fighter/Strike,9,TOPGUN Instructor,"Successfully completed an ACTC curriculum Level V and remained as a TOPGUN Instructor. 
Aircraft:  F/A-18E/F or F-35C
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DB9 require an officer with the DB9 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DBA,,D,B,Fighter,A,Pilot/NFO,"Successfully completed squadron introductory syllabus.

Aircraft: F-16",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DBA require an officer who has previously been awarded the DBA code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DBB,,D,B,Fighter,B,"F-35 Package
Commander/Team
Lead","Successfully completed the Lightning II Tactics and Weapons Syllabus/ACTC Level IV Syllabus.
Aircraft: F-35C",,,,130X,131X,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,"Billets coded with DBB require an officer
with the DBB code prior to reporting to
ultimate duty assignment.",,,,,1300,1301,1302,1310,1311,1312,,,,,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DC5,,D,C,Combat Support,5,ISR Patrol,"Successfully completed the initial Air Vehicle Operator or TACCO course of instruction/ACTC Level III.
Aircraft:  MQ-4C
",,,,130X,131X,132X,137X,139X,732X,,,,,,,,,,,,,,W1 TO O6,,Indefinite,Active and Reserve,Billets coded with DC5 require an officer with the DC5 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,7320,7321,,,,,,,,,,,,,W1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,OPNAV N2N6F2,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,
DC6,,D,C,Combat Support,6,Instructor ISR Patrol,"Successfully completed the MQ-4C Instructor course of instruction/ ACTC Level IV.
Aircraft:  MQ-4C
",,,,130X,131X,132X,137X,139X,732X,,,,,,,,,,,,,,W1 TO O6,,Indefinite,Active and Reserve,Billets coded with DC6 require an officer with the DC6 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,7320,7321,,,,,,,,,,,,,W1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,OPNAV N2N6F2,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,
DCF,,D,C,Combat Support,F,Forward Air Controller (Airborne)/ FAC(A) ,"Successfully completed a FAC(A) course of Instructions.
Aircraft:  FA-18F
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DCF require an officer with the DCF code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DD1,,D,D,Combat Support,1,ECM Recon,"Successfully completed the Fleet Replacement Squadron course of instruction/ACTC Level I.
Aircraft:  E/A-18G
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with DD1 require an officer with the DD1 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DD8,,D,D,Combat Support,8,COMM,"Successfully completed the Fleet Replacement Squadron course of instruction/ACTC Level I.
Aircraft:  E-6B
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with DD8 require an officer with the DD8 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DDA,,D,D,Combat Support,A,Mercury Tactics Instructor,"Successfully completed an ACTC curriculum Leve V.
Aircraft: E-6B
",,,,131X,132X,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DDB,,D,D,Combat Support,B,Growler Tactics Instructor,"Successfully completed Airborne Electronic Weapons School (HAVOC)/ACTC curriculum Level V.

Aircraft:  EA-18G
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with DDB require an officer with the DDB code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DDC,,D,D,Combat Support,C,Growler SEAD Lead,"Successfully completed an EA-18G ACTC curriculum Level IV.
Aircraft: EA-18G
",,,,131X,132X,,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DDC requires an officer who has previously been awarded the DDC code prior to reporting to ultimate duty assignment.,,,,1310,1320,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV N980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DDD,,D,D,Combat Support,D,Growler Element Lead,"Successfully completed an EA-18G ACTC curriculum Level III.
Aircraft: EA-18G
",,,,131X,132X,,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DDD requires an officer who has previously been awarded the DDD code prior to reporting to ultimate duty assignment.,,,,1310,1320,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV N980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DE4,,D,E,Transport,4,"Medium
Jet Pilot
","Successfully completed squadron Second Pilot syllabus.
Aircraft:  C-20 or C-37
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O5,,Indefinite,Active and Reserve,Billets coded with DE4 require an officer with the DE4 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O5,,,Active and Reserve,OPNAV 980T,,,,,BUPERS-315,PERS-4,,,,,,,,,,,,,,
DE5,,D,E,Transport,5,"Heavy
Jet Pilot
","Successfully completed squadron Second Pilot syllabus.
Aircraft:  C-40
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,Billets coded with DE5 require an officer with the DE5 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O5,,,Active and Reserve,OPNAV 980T,,,,,BUPERS-315,PERS-4,,,,,,,,,,,,,,
DF0,,D,F,CNATRA,0,ASW Aviator Training,"Successfully completed the associated training course of instruction.
Aircraft:  Any
",,,,130X,131X,632X,732X,,,,,,,,,,,,,,,,W2 TO O6,,Indefinite,Active and Reserve,Billets coded with DF0 require an officer with the DF0 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,6320,7321,,,,,,,,,,,,,,,,,,W2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS-31,PERS-4,,,,,,,,,,,,,,
DF5,,D,F,Patrol,5,ASW Aviator,"Successfully completed the associated Fleet Replacement Squadron training course of instruction/ACTC Level I. 
Aircraft:  P-8A
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with DF5 require an officer with the DF5 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DF6,,D,F,Patrol,6,ASW Instructor,"Qualified as a Patrol Community Instructor/ACTC Level IV.
Aircraft:  P-8A
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with DF6 require an officer with the DF6 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DF7,,D,F,Patrol,7,Poseidon Weapons & Tactics Instructor (WTI) Pilot,"Successfully completed an ACTC curriculum Level V.
Aircraft:  P-8A
",,,,130X,131X,132X,137X,139X,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with DF7 require an officer with the DF7 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,,,,,,,,,,,,,,,O2 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DF8,,D,F,Patrol,8,Advanced Airborne Sensor Tactical Officer ,"(a) Successfully completed the associated Maritime Patrol & Reconnaissance Weapons School (MPRWS) training course of instruction 
AND
(b) Complete MPRWS P-8A Qualification Standards AAS Tactical Officer
AND
(c) Air Combat Training Continuum (ACTC) Level 300 designation

Aircraft: P-8A",,,,132X,,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG0,,D,G,Jet,0,Pilot,"Qualified as a jet pilot
Aircraft:  Any
",,,,130X,131X,132X,,,,,,,,,,,,,,,,,O1 TO O11,,Indefinite,Active and Reserve,Billets coded with DG0 require an officer with the DG0 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,,,,,,,,,,,,,,,,,O1 TO O11,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG1,,D,G,CNATRA,1,Instructor (Fleet Experience),"Successfully completed CNATRA Jet program.
Aircraft:  Any
",,,,130X,131X,132X,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DG1 require an officer with the DG1 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG2,,D,G,CNATRA,2,Non-fleet experience Jet instructor,"Successfully completed CNATRA Selectivel Retained Graduate (SERGRAD) program.
Aircraft: Any jet.
",,,,131X,132X,137X,139X,154X,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG3,,D,G,Composite Jet,3,Pilot,"Qualified as a Composite Jet Pilot.
Aircraft:  Any
",,,,130X,132X,137X,139X,154X,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DG3 require an officer with the DG3 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG5,,D,G,CNATRA,5,Pilot Training Jet,"Successfully completed CNATRA Training Wing I or Training Wing 2 Jet syllabus.
Aircraft: All.
",,,,131X,139X,154X,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG6,,D,G,CNATRA,6,NFO Training-RIO,"Successfully completed CNATRA NFO Training RIO.
Aircraft:  Any
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DG6 require an officer with the DG6 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG7,,D,G,CNATRA,7,NFO Training-AJN,"Successfully completed CNATRA NFO Training RIO.
Aircraft:  Any
",,,,130X,131X,132X,137X,139X,154X,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with DG7 require an officer with the DG7 code prior to reporting to ultimate duty assignment.,,,,1300,1301,1302,1310,1311,1312,1320,1321,1322,1372,1392,1540,1541,1542,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
DG8,,D,G,CNATRA,8,ASW NFO Instructor,"Successfully completed CNATRA AELW Instructor Under training (IUT) program.
Aircraft: All.
",,,,132X,137X,154X,,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV 980T,,,,,BUPERS - 311,BUPERS -315,PERS-4,,,,,,,,,,,,,
